product_id,product_name,product_url,category_id,description,variation_name,variation_type,price,sku,stock_status,main_image
161,"Vitrine Quadro De Avisos Durável , Moldura De Encaixe Em Alumínio",https://estudioplast.com/pt/quadros/161-271-moldura-instantanea-25mm-esta-moldura-de-poster-em-prata-tem-uma-moldura-de-aluminio-extrudido-de-25mm-e-um-painel-traseiro-de-p-5603387577704.html#/1-tamanho-a4_21x30cm,21,"Esta moldura de poster em prata tem uma moldura de alumínio extrudido de 25mm e um painel traseiro de plástico de 1,5mm de altura. Tem um acabamento anodizado prateado como padrão. Ele também tem cant","A1 (59,4x84cm)",Variation,"37,27 €",mi_161-a1-594x84cm,,https://estudioplast.com/1102-medium_default/moldura-instantanea-25mm-esta-moldura-de-poster-em-prata-tem-uma-moldura-de-aluminio-extrudido-de-25mm-e-um-painel-traseiro-de-p.jpg
161,"Vitrine Quadro De Avisos Durável , Moldura De Encaixe Em Alumínio",https://estudioplast.com/pt/quadros/161-271-moldura-instantanea-25mm-esta-moldura-de-poster-em-prata-tem-uma-moldura-de-aluminio-extrudido-de-25mm-e-um-painel-traseiro-de-p-5603387577704.html#/1-tamanho-a4_21x30cm,21,"Esta moldura de poster em prata tem uma moldura de alumínio extrudido de 25mm e um painel traseiro de plástico de 1,5mm de altura. Tem um acabamento anodizado prateado como padrão. Ele também tem cant",A0 (84x119cm),Variation,"64,15 €",mi_161-a0-84x119cm,,https://estudioplast.com/1102-medium_default/moldura-instantanea-25mm-esta-moldura-de-poster-em-prata-tem-uma-moldura-de-aluminio-extrudido-de-25mm-e-um-painel-traseiro-de-p.jpg
206,Vitrine Com Fundo Magnético,https://estudioplast.com/pt/placas-de-comunicacao/206-403-vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo-5609283554450.html#/77-tamanho-25x40_cm,21,"Um quadro de avisos de montagem na parede adequado para uso interno ou externo.

O quadro branco da moldura pode ser usado com ímanes (não fornecidos) ou com marcadores.

Uma porta com dobradiças trav",25x40 cm,Variation,"56,60 €",vc_206-25x40-cm,,https://estudioplast.com/483-medium_default/vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo.jpg
206,Vitrine Com Fundo Magnético,https://estudioplast.com/pt/placas-de-comunicacao/206-403-vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo-5609283554450.html#/77-tamanho-25x40_cm,21,"Um quadro de avisos de montagem na parede adequado para uso interno ou externo.

O quadro branco da moldura pode ser usado com ímanes (não fornecidos) ou com marcadores.

Uma porta com dobradiças trav",35x50cm,Variation,"58,95 €",vc_206-35x50cm,,https://estudioplast.com/483-medium_default/vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo.jpg
206,Vitrine Com Fundo Magnético,https://estudioplast.com/pt/placas-de-comunicacao/206-403-vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo-5609283554450.html#/77-tamanho-25x40_cm,21,"Um quadro de avisos de montagem na parede adequado para uso interno ou externo.

O quadro branco da moldura pode ser usado com ímanes (não fornecidos) ou com marcadores.

Uma porta com dobradiças trav",50x70 cm,Variation,"79,96 €",vc_206-50x70-cm,,https://estudioplast.com/483-medium_default/vitrine-com-fundo-magnetico-um-quadro-de-avisos-de-montagem-na-parede-adequado-para-uso-interno-ou-externo-o-quadro-branco-da-mo.jpg
940,Placa De Comunicação 4 X A4,https://estudioplast.com/pt/placas-de-comunicacao/940-placa-de-comunicacao-4-x-a4.html,21,"Placa em acrílico 3mm cristal com 4 bolsas de comunicação A4 verticais.

Pack de afastadores de alumínio 13x19mm incluído.

Fácil aplicação e utilização em paredes, para uma comunicação organizada.",Standard,default,"64,53 €","Referência:
pd_940",,https://estudioplast.com/3679-medium_default/placa-de-comunicacao-4-x-a4.jpg
941,Placa De Comunicação 6 X A4,https://estudioplast.com/pt/placas-de-comunicacao/941-placa-de-comunicacao-6-x-a4.html,21,"Placa em acrílico 3mm cristal com 6 bolsas de comunicação A4 verticais.

Pack de afastadores de alumínio 13x19mm incluído.

Fácil aplicação e utilização em paredes, para uma comunicação organizada.",Standard,default,"83,83 €","Referência:
pd_94_6xA4",,https://estudioplast.com/3681-medium_default/placa-de-comunicacao-6-x-a4.jpg
947,"Bolsa Estático Durable , Auto-Adesivo, Cinzento",https://estudioplast.com/pt/bolsas/947-7454-bolsa-estatico-durable-auto-adesivo-cinzento-5605938170945.html#/1-tamanho-a4_21x30cm,21,"A solução de rotulagem ideal para vidros curvos. As bolsas de informação estaticamente adesivas são adequadas para fixar ofertas a montras de automóveis, montras de lojas e balcões de venda. Permite a",A4 (21x30cm),Variation,"7,86 €",17949-,,https://estudioplast.com/3703-medium_default/bolsa-estatico-durable-auto-adesivo-cinzento.jpg
948,Bolsa Informativo DURAFRAME® A4,https://estudioplast.com/pt/para-vidro/948-7456-bolsa-informativo-duraframe-a4-5600522085667.html#/67-cores-preto,21,"O Infoframe DURAFRAME® A3 da DURABLE representa a solução perfeita para quem procura uma forma prática e elegante de apresentar documentos. Com um design magnético inovador, permite a rápida substitui",Standard,default,"10,95 €","Referência:
4872 P",,https://estudioplast.com/3708-medium_default/bolsa-informativo-duraframe-a4.jpg
949,Bolsa Informativo DURAFRAME® A3,https://estudioplast.com/pt/bolsas/949-7463-bolsa-informativo-duraframe-a3-2600522085949.html#/67-cores-preto,21,"O Infoframe DURAFRAME® A3 da DURABLE representa a solução perfeita para quem procura uma forma prática e elegante de apresentar documentos. Com um design magnético inovador, permite a rápida substitui",Standard,default,"17,95 €","Referência:
66038-",,https://estudioplast.com/3724-medium_default/bolsa-informativo-duraframe-a3.jpg
950,Bolsa Informativo DURAFRAME® NOTE A4,https://estudioplast.com/pt/bolsas/950-7471-bolsa-informativo-duraframe-note-a4.html#/67-cores-preto,21,"A moldura DURAFRAME® NOTE A4 é uma solução inovadora e prática para a exibição de documentos e notas. Fácil de aplicar em superfícies lisas, permite a troca rápida de documentos sem ferramentas. Perfe",Standard,default,"14,40 €","Referência:
NOTE A4 Preto",,https://estudioplast.com/3737-medium_default/bolsa-informativo-duraframe-note-a4.jpg
979,Bolsa DURAFRAME® WALLPAPER A4,https://estudioplast.com/pt/bolsas/979-7625-bolsa-duraframe-wallpaper-a4.html#/67-cores-preto,21,4843,Standard,default,"15,01 €","Referência:
484301",,https://estudioplast.com/4525-medium_default/bolsa-duraframe-wallpaper-a4.jpg
981,Bolsa DURAFRAME® WALLPAPER A3,https://estudioplast.com/pt/bolsas/981-7631-bolsa-duraframe-wallpaper-a3.html#/67-cores-preto,21,4844,Standard,default,"24,02 €","Referência:
484401",,https://estudioplast.com/4550-medium_default/bolsa-duraframe-wallpaper-a3.jpg
1154,Placa De Comunicação 8 X A4,https://estudioplast.com/pt/placas-de-comunicacao/1154-placa-de-comunicacao-8-x-a4.html,21,"Placa em acrílico 4mm cristal com 8 bolsas de comunicação A4 verticais.

Pack de afastadores de alumínio 13x19mm incluído.

Fácil aplicação e utilização em paredes, para uma comunicação organizada.",Standard,default,"115,56 €","Referência:
pd_94_8xA4",,https://estudioplast.com/5289-medium_default/placa-de-comunicacao-8-x-a4.jpg
1190,Porta Folhetos A4 Vertical,https://estudioplast.com/pt/porta-folhetos-Parede/1190-porta-folhetos-a4-vertical.html,21,,Standard,default,"6,23 €","Referência:
W230",,https://estudioplast.com/5432-medium_default/porta-folhetos-a4-vertical.jpg
1192,"Pe De Suporte Para Porta Folhetos 4W104, W110, W160 E W230",https://estudioplast.com/pt/porta-folhetos-Parede/1192-pe-de-suporte-para-porta-folhetos-4w104-w110-w160-e-w230.html,21,,Standard,default,"0,56 €","Referência:
AB1",,https://estudioplast.com/5440-medium_default/pe-de-suporte-para-porta-folhetos-4w104-w110-w160-e-w230.jpg
1199,"Porta Folhetos Vertical, 1/3 A4 Ou DL",https://estudioplast.com/pt/acrilicos-de-parede/1199-porta-folhetos-vertical-13-a4-ou-dl.html,21,,Standard,default,"3,06 €","Referência:
W110",,https://estudioplast.com/5455-medium_default/porta-folhetos-vertical-13-a4-ou-dl.jpg
1202,Porta-Folhetos De Bolso A6 Com Horizontal,https://estudioplast.com/pt/acrilicos-de-parede/1202-porta-folhetos-de-bolso-a6-com-horizontal.html,21,,Standard,default,"4,36 €","Referência:
WLA6",,https://estudioplast.com/5461-medium_default/porta-folhetos-de-bolso-a6-com-horizontal.jpg
1203,"Porta-Folhetos A6 Vertical , Parede",https://estudioplast.com/pt/acrilicos-de-parede/1203-porta-folhetos-a6-vertical-parede-.html,21,,Standard,default,"4,29 €","Referência:
WPA6",,https://estudioplast.com/5463-medium_default/porta-folhetos-a6-vertical-parede-.jpg
1278,Porta-Folhetos De A4 Com 3 Níveis De Parede,https://estudioplast.com/pt/porta-folhetos-Parede/1278-porta-folhetos-de-a4-com-3-niveis-de-parede-.html,21,,Standard,default,"20,14 €","Referência:
3W230",,https://estudioplast.com/5958-medium_default/porta-folhetos-de-a4-com-3-niveis-de-parede-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3",A6 (10x15cm),Variation,"2,88 €",pd_821-a6-10x15cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3",A5 (21x15cm),Variation,"5,18 €",pd_821-a5-21x15cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3",A4 (21x30cm),Variation,"7,48 €",pd_821-a4-21x30cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3",A3 (42x30cm),Variation,"12,54 €",pd_821-a3-42x30cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3","A2 (42x59,4cm)",Variation,"19,31 €",pd_821-a2-42x594cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3","A1 (59,4x84cm)",Variation,"64,70 €",pd_821-a1-594x84cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
821,Placa De Comunicação - Cantos Arredondados,https://estudioplast.com/pt/placas-de-comunicacao/821-5418-placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.html#/4-tamanho-a6_10x15cm,21,"Tamanhos e espessuras standard:

A6 em 3mm - Tamanho da placa 13*18 cm 

A5 em 3mm - Tamanho da placa 18*24 cm 

A4 em 3mm - Tamanho da placa 24*33 cm 

A3 em 3mm - Tamanho da placa 33*45 cm 

A2 em 3",A0 (84x119cm),Variation,"83,42 €",pd_821-a0-84x119cm,,https://estudioplast.com/6051-medium_default/placa-de-comunicacao-cantos-arredondados-tamanhos-e-espessuras-standard-a6-em-3mm-a5-em-3mm-a4-em-3mm-a3-em-3mm-a2-em-3mm-a1-em-.jpg
597,Pack De Comunicação - Cantos Retos Preto,https://estudioplast.com/pt/placas-de-comunicacao/597-4296-pack-de-comunicacao-cantos-retos-preto-tamanhos-standard-a6-3mm-a5-3mm-a4-3mm-a3-3mm-a2-5mm-a1-5mm-a0-5mm-pack-de-2-placas-de-co.html#/4-tamanho-a6_10x15cm,21,"Tamanhos standard:

A6 (3mm)

A5 (3mm) 

A4 (3mm) 

A3 (3mm)

A2 (5mm) 

A1 (5mm) 

A0 (5mm)",A6 (10x15cm),Variation,"12,54 €",pd_597-a6-10x15cm,,https://estudioplast.com/3127-medium_default/pack-de-comunicacao-cantos-retos-preto-tamanhos-standard-a6-3mm-a5-3mm-a4-3mm-a3-3mm-a2-5mm-a1-5mm-a0-5mm-pack-de-2-placas-de-co.jpg
597,Pack De Comunicação - Cantos Retos Preto,https://estudioplast.com/pt/placas-de-comunicacao/597-4296-pack-de-comunicacao-cantos-retos-preto-tamanhos-standard-a6-3mm-a5-3mm-a4-3mm-a3-3mm-a2-5mm-a1-5mm-a0-5mm-pack-de-2-placas-de-co.html#/4-tamanho-a6_10x15cm,21,"Tamanhos standard:

A6 (3mm)

A5 (3mm) 

A4 (3mm) 

A3 (3mm)

A2 (5mm) 

A1 (5mm) 

A0 (5mm)",A5 (21x15cm),Variation,"17,14 €",pd_597-a5-21x15cm,,https://estudioplast.com/3127-medium_default/pack-de-comunicacao-cantos-retos-preto-tamanhos-standard-a6-3mm-a5-3mm-a4-3mm-a3-3mm-a2-5mm-a1-5mm-a0-5mm-pack-de-2-placas-de-co.jpg
